#Year,Area,CancerType,AgeAdjustedRate,lci,uci,DeathCount,Population
1999,Alaska,Female Breast,20.4,14.4,28.1,42,301266
1999,Hawaii,Female Breast,21.1,17.7,25,138,601830
1999,Utah,Female Breast,21.7,18.7,25.1,185,1100167
1999,Wyoming,Female Breast,23,17.5,29.8,58,244518
1999,South Dakota,Female Breast,23.1,18.9,28.1,110,378500
1999,Montana,Female Breast,23.4,19.4,28,122,450543
1999,New Mexico,Female Breast,23.5,20.4,26.8,215,918661
1999,Alabama,Female Breast,25.7,23.7,27.7,653,2293259
1999,Arizona,Female Breast,25.4,23.5,27.4,684,2518299
1999,Arkansas,Female Breast,25.3,22.8,27.9,401,1359445
1999,California,Female Breast,25.1,24.4,25.9,4060,16800161
1999,Colorado,Female Breast,24.8,22.6,27.1,489,2101358
1999,Vermont,Female Breast,25.4,20.3,31.3,89,308398
1999,Virginia,Female Breast,27.2,25.6,29,1008,3569683
1999,Washington,Female Breast,23.9,22.2,25.8,725,2934901
1999,West Virginia,Female Breast,24.8,22,27.9,286,931809
1999,Wisconsin,Female Breast,26.6,24.8,28.5,825,2701525
1999,Tennessee,Female Breast,26.1,24.4,28,833,2897466
1999,Texas,Female Breast,25.2,24.2,26.2,2408,10360202
1999,North Carolina,Female Breast,26.6,25.1,28.2,1168,4062710
1999,North Dakota,Female Breast,26,21.2,31.6,111,322617
1999,Ohio,Female Breast,29.3,28,30.6,1960,5835017
1999,Oklahoma,Female Breast,26.4,24.1,28.8,522,1748783
1999,Oregon,Female Breast,26.6,24.4,29.1,511,1712226
1999,Pennsylvania,Female Breast,29.2,28.1,30.5,2386,6347064
1999,Rhode Island,Female Breast,26.4,22.6,30.7,179,540724
1999,South Carolina,Female Breast,27.7,25.5,30,604,2045606
1999,New York,Female Breast,28.3,27.3,29.3,3127,9777654
1999,Nebraska,Female Breast,23.9,21,27.2,249,865531
1999,Nevada,Female Breast,26.7,23.5,30.3,245,949422
1999,New Hampshire,Female Breast,27.6,23.8,31.9,186,621409
1999,New Jersey,Female Breast,28.8,27.3,30.4,1436,4304271
1999,Minnesota,Female Breast,24.9,23.1,26.9,670,2462931
1999,Mississippi,Female Breast,28.1,25.5,30.9,429,1464581
1999,Missouri,Female Breast,25.7,24,27.5,856,2860166
1999,Massachusetts,Female Breast,27.1,25.5,28.8,1045,3274830
1999,Michigan,Female Breast,28.1,26.7,29.6,1531,5047770
1999,Indiana,Female Breast,26.4,24.6,28.2,898,3083351
1999,Iowa,Female Breast,25.8,23.5,28.3,479,1488223
1999,Kansas,Female Breast,25.3,22.8,28,386,1356044
1999,Kentucky,Female Breast,26.7,24.6,28.9,602,2056401
1999,Louisiana,Female Breast,29.2,27,31.5,683,2302744
1999,Maine,Female Breast,27.1,23.5,31,215,650598
1999,Maryland,Female Breast,28,26.1,30,791,2716928
1999,Connecticut,Female Breast,25.5,23.4,27.8,541,1747148
1999,Delaware,Female Breast,27.7,23,33.2,120,398732
1999,District of Columbia,Female Breast,35.8,29.6,43,118,301797
1999,Florida,Female Breast,24.4,23.4,25.4,2579,8073847
1999,Georgia,Female Breast,26.1,24.5,27.8,1008,4096031
1999,Idaho,Female Breast,27,23,31.3,171,636798
1999,Illinois,Female Breast,29.5,28.2,30.8,2007,6313350
2000,Hawaii,Female Breast,18,14.9,21.6,119,603494
2000,Arkansas,Female Breast,23.3,20.9,25.8,374,1371015
2000,Colorado,Female Breast,23.3,21.2,25.5,476,2147742
2000,Utah,Female Breast,22.7,19.6,26,198,1119827
2000,Nebraska,Female Breast,22.1,19.3,25.3,226,868980
2000,Alabama,Female Breast,26.7,24.7,28.7,691,2302835
2000,Alaska,Female Breast,28,21,36.5,61,303213
2000,Arizona,Female Breast,26.1,24.2,28.1,718,2584579
2000,California,Female Breast,25.7,24.9,26.5,4243,17050415
2000,Connecticut,Female Breast,25.5,23.3,27.8,539,1759318
2000,Delaware,Female Breast,31.3,26.3,36.9,140,404447
2000,District of Columbia,Female Breast,29.1,23.5,35.6,96,302643
2000,Wyoming,Female Breast,25,19.3,31.9,65,245584
2000,West Virginia,Female Breast,27.9,24.9,31.2,329,928269
2000,Wisconsin,Female Breast,25.2,23.5,27.1,788,2719235
2000,Virginia,Female Breast,29,27.3,30.8,1097,3619742
2000,Washington,Female Breast,24.3,22.6,26.2,749,2967734
2000,Texas,Female Breast,25.2,24.2,26.2,2466,10545156
2000,Vermont,Female Breast,28.6,23.4,34.8,106,310849
2000,South Dakota,Female Breast,27.8,23.1,33.3,129,380681
2000,Tennessee,Female Breast,26.4,24.6,28.2,863,2926133
2000,South Carolina,Female Breast,28.7,26.5,31,637,2068627
2000,Pennsylvania,Female Breast,27.6,26.4,28.8,2280,6351999
2000,Rhode Island,Female Breast,28,24,32.5,187,545774
2000,Oregon,Female Breast,24.5,22.4,26.9,477,1728647
2000,Ohio,Female Breast,29,27.7,30.3,1957,5845425
2000,Oklahoma,Female Breast,25.5,23.3,27.9,513,1756493
2000,North Carolina,Female Breast,24.2,22.8,25.7,1075,4119034
2000,North Dakota,Female Breast,23.9,19.2,29.4,97,321555
2000,New Mexico,Female Breast,25.7,22.6,29.2,241,925624
2000,New York,Female Breast,27.6,26.6,28.6,3093,9842061
2000,New Hampshire,Female Breast,26,22.4,30.1,181,630111
2000,New Jersey,Female Breast,31,29.4,32.5,1567,4340112
2000,Nevada,Female Breast,26.8,23.6,30.3,257,990315
2000,Montana,Female Breast,25.1,20.9,29.8,131,453425
